C79E  SEI                    A:00 X:00 Y:00 P:24 SP:FD CYC:7
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2176
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2178
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2181
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2185
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2187
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2190
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2194
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2196
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2199
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2203
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2205
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2208
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2212
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2214
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2217
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2221
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2223
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2226
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2230
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2232
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2235
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2239
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2241
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2244
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2248
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2250
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2253
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2257
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2259
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2262
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2266
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2268
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2271
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2275
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2277
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2280
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2284
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2286
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2289
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2293
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2295
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2298
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2302
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2304
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2307
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2311
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2313
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2316
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2320
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2322
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2325
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2329
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2331
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2334
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2338
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2340
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2343
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2347
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2349
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2352
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2356
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2358
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2361
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2365
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2367
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2370
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2374
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2376
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2379
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2383
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2385
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2388
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2392
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2394
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2397
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2401
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2403
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2406
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2410
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2412
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2415
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2419
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2421
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2424
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2428
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2430
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2433
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2437
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2439
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2442
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2446
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2448
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2451
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2455
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2457
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2460
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2464
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2466
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2469
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2473
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2475
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2478
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2482
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2484
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2487
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2491
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2493
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2496
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2500
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2502
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2505
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2509
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2511
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2514
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2518
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2520
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2523
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2527
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2529
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2532
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2536
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2538
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2541
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2545
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2547
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2550
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2554
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2556
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2559
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2563
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2565
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2568
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2572
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2574
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2577
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2581
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2583
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2586
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2590
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2592
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2595
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2599
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2601
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2604
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2608
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2610
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2613
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2617
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2619
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2622
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2626
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2628
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2631
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2635
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2637
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2640
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2644
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2646
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2649
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2653
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2655
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2658
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2662
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2664
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2667
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2671
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2673
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2676
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2680
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2682
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2685
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2689
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2691
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2694
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2698
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2700
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2703
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2707
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2709
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2712
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2716
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2718
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2721
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2725
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2727
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2730
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2734
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2736
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2739
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2743
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2745
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2748
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2752
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2754
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2757
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2761
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2763
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2766
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2770
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2772
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2775
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2779
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2781
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2784
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2788
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2790
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2793
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2797
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2799
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2802
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2806
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2808
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2811
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2815
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2817
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2820
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2824
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2826
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2829
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2833
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2835
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2838
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2842
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2844
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2847
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2851
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2853
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2856
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2860
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2862
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2865
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2869
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2871
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2874
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2878
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2880
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2883
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2887
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2889
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2892
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2896
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2898
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2901
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2905
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2907
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2910
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2914
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2916
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2919
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2923
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2925
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2928
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2932
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2934
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2937
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2941
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2943
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2946
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2950
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2952
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2955
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2959
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2961
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2964
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2968
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2970
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2973
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2977
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2979
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2982
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2986
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2988
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:2991
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:2995
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:2997
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3000
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3004
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3006
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3009
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3013
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3015
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3018
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3022
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3024
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3027
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3031
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3033
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3036
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3040
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3042
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3045
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3049
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3051
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3054
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3058
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3060
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3063
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3067
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3069
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3072
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3076
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3078
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3081
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3085
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3087
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3090
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3094
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3096
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3099
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3103
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3105
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3108
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3112
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3114
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3117
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3121
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3123
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3126
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3130
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3132
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3135
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3139
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3141
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3144
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3148
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3150
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3153
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3157
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3159
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3162
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3166
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3168
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3171
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3175
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3177
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3180
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3184
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3186
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3189
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3193
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3195
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3198
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3202
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3204
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3207
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3211
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3213
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3216
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3220
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3222
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3225
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3229
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3231
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3234
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3238
C7AD  BEQ                    A:00 X:FF Y:00 P:26 SP:FF CYC:3240
C7A8  LDA                    A:00 X:FF Y:00 P:26 SP:FF CYC:3243
C7AB  AND                    A:00 X:FF Y:00 P:26 SP:FF CYC:3247
